Archivo;Nodos;Aristas;Cliques;Tiempo;Clique_Maximo
le450_15b.col;450;16338;2987;0.3447582721710205;15
le450_15c.col;450;33360;28049;2.3655142784118652;15
le450_15d.col;450;33500;28908;3.2839760780334473;15
le450_25a.col;450;16520;2560;0.31334447860717773;25
le450_25c.col;450;34686;29579;4.859590291976929;25
le450_25d.col;450;34850;30057;5.867342472076416;25
le450_5a.col;450;11428;2808;0.08999371528625488;5
le450_5b.col;450;11468;2766;0.08232283592224121;5
le450_5c.col;450;19606;7660;0.18237900733947754;5
le450_5d.col;450;19514;7434;0.21238040924072266;5
