Archivo;Nodos;Aristas;Cliques;Tiempo;Clique_Maximo
le450_15b.col;450;8169;4461;0.07297587394714355;10
le450_15c.col;450;16680;15073;0.2201673984527588;12
le450_15d.col;450;16750;14591;0.22699713706970215;10
le450_25a.col;450;8260;9020;0.2749948501586914;14
le450_25c.col;450;17343;28917;0.5420336723327637;15
le450_25d.col;450;17425;30467;0.603966474533081;14
le450_5a.col;450;5714;2084;0.028004169464111328;5
le450_5b.col;450;5734;2162;0.017005205154418945;5
le450_5c.col;450;9803;4085;0.03699898719787598;5
le450_5d.col;450;9757;4032;0.03803563117980957;5
